啶 34 
啷 40 
啸 1006 
啻 71 
啼 368 
啾 46 
喀 2681 
喁 12 
喂 2818 
喃 290 
善 94464 
喇 1160 
喈 1 
喉 1721 
喊 7167 
喋 120 
喏 19 
喑 10 
喔 134 
喘 1306 
喙 59 
喜 38661 
喝 14667 
喟 29 
喧 1023 
喱 130 
喳 105 
喵 879 
喷 5862 
喹 23 
喻 3079 
喽 121 
喾 5 
嗄 3 
嗅 636 
嗌 1 
嗍 3 
嗑 215 
嗒 288 
嗓 755 
嗔 38 
嗖 130 
嗜 413 
嗝 41 
嗟 28 
嗡 342 
嗣 264 
嗤 84 
嗥 6 
嗦 188 
嗨 1235 
嗪 33 
嗫 15 
嗬 7 
嗯 380 
嗲 98 
嗳 12 
嗵 22 
嗷 156 
嗽 855 
嘀 467 
嘁 3 
嘈 290 
嘉 19495 
嘌 71 
嘎 553 
嘏 1 
嘘 742 
嘛 1638 
嘞 37 
嘟 709 
嘣 27 
嘤 39 
嘧 16 
嘬 9 
嘭 82 
嘱 2806 
嘲 1058 
嘴 6925 
嘶 216 
嘹 220 
嘻 687 
嘿 366 
噌 68 
噍 1 
噎 107 
噔 79 
噗 58 
噘 2 
噙 46 
噜 207 
噢 189 
噤 58 
器 64862 
噩 641 
噪 3409 
噫 4 
噬 301 
噱 547 
噶 120 
噻 54 
噼 138 
嚅 13 
嚆 1 
嚎 224 
嚏 157 
嚓 115 
嚣 1202 
嚯 22 
嚷 418 
嚼 750 
囊 3803 
囔 61 
囗 12 
囚 1103 
四 140587 
囝 2 
回 157210 
囟 3 
因 206726 
囡 65 
团 158059 
囤 619 
囫 58 
园 117281 
困 70252 
囱 315 
围 83431 
囵 58 
囹 103 
固 25604 
国 1252788 
图 96706 
囿 206 
圃 568 
圄 103 
圆 15563 
圈 27271 
圉 1 
圜 31 
土 81885 
圣 10457 
在 1483243 
圩 1271 
圪 63 
圬 2 
圭 777 
圮 3 
地 686640 
圳 73584 
圹 1 
场 393540 
圻 35 
圾 15941 
址 14878 
坂 682 
均 90556 
坊 7924 
坌 14 
坍 1798 
坎 2879 
坏 18060 
坐 26474 
坑 5652 
块 30101 
坚 113285 
坛 20901 
坜 54 
坝 7465 
坞 1414 
坟 1372 
坠 5833 
坡 17333 
坤 3379 
坦 16585 
坨 320 
坩 6 
坪 9646 
坭 292 
坯 553 
坳 607 
坷 335 
坻 46 
坼 6 
垂 4453 
垃 15947 
垄 2836 
垅 135 
垆 33 
型 126227 
垌 25 
垒 2544 
垓 23 
垛 206 
垠 178 
垡 92 
垢 393 
垣 654 
垤 7 
垦 1521 
垧 6 
垩 39 
垫 3719 
垭 346 
垮 2005 
垴 24 
垸 1411 
埂 220 
埃 11556 
埋 5668 
城 286821 
埒 3 
埔 4273 
埕 103 
埘 1 
埙 23 
埚 6 
埝 29 
域 117003 
埠 1926 
埤 16 
埭 97 
埴 1 
埸 4 
培 69970 
基 235156 
堀 20 
堂 29413 
堆 8095 
堇 26 
堍 8 
堑 120 
堕 521 
堙 1 
堞 8 
堠 7 
堡 7152 
堤 7539 
堪 5785 
堰 3030 
堵 16480 
塄 28 
塌 8748 
塍 10 
塑 11866 
塔 17070 
塘 11010 
塞 14516 
填 12767 
塬 350 
塾 143 
墀 10 
墁 9 
境 125431 
墅 2998 
墉 211 
墒 120 
墓 9224 
墙 16474 
墚 2 
增 207515 
墟 1370 
墨 8547 
墩 1558 
壁 8217 
壅 17 
壑 240 
壕 345 
壤 7338 
士 112221 
壬 65 
壮 11145 
声 72010 
壳 3471 
壶 1678 
壹 2477 
处 221736 
备 111173 
复 88237 
夏 30092 
夔 51 
夕 8173 
外 296072 
夙 322 
多 525579 
夜 33554 
够 46552 
夥 1 
大 1141557 
天 370158 
太 67488 
夫 45137 
夭 480 
央 96546 
夯 2925 
失 87958 
头 126736 
夷 2226 
夸 2626 
夹 4334 
夺 13248 
夼 32 
奁 3 
奂 275 
奄 305 
奇 29558 
